TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	18/06/04
TIME	12:16:31
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-0.025
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  650.0000
LASTX	  500.0000
NPOINTS	    6001
FIRSTY	     1.53992
MAXY	     1.55413
MINY	     1.26864
XYDATA
650.0000	1.53992
649.9750	1.54124
649.9500	1.54259
649.9250	1.54258
649.9000	1.54281
649.8750	1.54403
649.8500	1.54316
649.8250	1.54403
649.8000	1.54456
649.7750	1.54608
649.7500	1.54552
649.7250	1.54626
649.7000	1.5412
649.6750	1.5418
649.6500	1.53973
649.6250	1.54026
649.6000	1.53995
649.5750	1.54065
649.5500	1.54487
649.5250	1.54427
649.5000	1.54524
649.4750	1.54457
649.4500	1.53988
649.4250	1.53969
649.4000	1.53979
649.3750	1.53893
649.3500	1.53954
649.3250	1.54344
649.3000	1.54538
649.2750	1.54793
649.2500	1.54661
649.2250	1.54625
649.2000	1.54601
649.1750	1.54379
649.1500	1.54274
649.1250	1.54215
649.1000	1.53796
649.0750	1.53991
649.0500	1.53941
649.0250	1.54579
649.0000	1.54459
648.9750	1.54357
648.9500	1.54468
648.9250	1.54608
648.9000	1.54591
648.8750	1.54518
648.8500	1.5408
648.8250	1.54172
648.8000	1.54104
648.7750	1.53917
648.7500	1.53829
648.7250	1.53852
648.7000	1.53867
648.6750	1.54064
648.6500	1.54012
648.6250	1.54054
648.6000	1.5425
648.5750	1.54015
648.5500	1.53752
648.5250	1.53464
648.5000	1.5345
648.4750	1.53554
648.4500	1.53046
648.4250	1.53783
648.4000	1.53698
648.3750	1.54282
648.3500	1.54421
648.3250	1.5456
648.3000	1.54463
648.2750	1.54257
648.2500	1.5391
648.2250	1.5385
648.2000	1.53559
648.1750	1.53573
648.1500	1.53556
648.1250	1.5374
648.1000	1.53926
648.0750	1.5377
648.0500	1.53548
648.0250	1.53511
648.0000	1.53471
647.9750	1.53135
647.9500	1.53125
647.9250	1.53604
647.9000	1.54147
647.8750	1.54168
647.8500	1.54353
647.8250	1.54346
647.8000	1.54521
647.7750	1.54133
647.7500	1.53907
647.7250	1.53869
647.7000	1.53923
647.6750	1.53909
647.6500	1.53585
647.6250	1.53576
647.6000	1.53773
647.5750	1.53429
647.5500	1.53038
647.5250	1.5299
647.5000	1.53446
647.4750	1.53793
647.4500	1.53571
647.4250	1.54005
647.4000	1.54362
647.3750	1.54304
647.3500	1.54277
647.3250	1.53924
647.3000	1.54262
647.2750	1.54575
647.2500	1.54483
647.2250	1.54443
647.2000	1.54316
647.1750	1.54533
647.1500	1.54349
647.1250	1.54123
647.1000	1.53864
647.0750	1.537
647.0500	1.53895
647.0250	1.53509
647.0000	1.53621
